# Lines starting with "#" are ignored
#
#  LSSS species  Nation  Platform  BEI species
#
          0        58        1       0 Utolkede data (raadata)
          1        58        1       1 Andre sorter
          2        58        1       2 Bunnfisk
          3        58        1       3 Pelagisk fisk
          4        58        1       4 Maneter
          5        58        1       5 Reker
          6        58        1       6 Plankton
          7        58        1       7 Lysprikkfisk
          8        58        1       8 Polartorsk
          9        58        1       9 II-Sild
         10        58        1      10 I-Sild
         11        58        1      11 0-Sild
         12        58        1      12 Sild
         13        58        1      13 II-Lodde
         14        58        1      14 I-Lodde
         15        58        1      15 0-Lodde
         16        58        1      16 Lodde
         17        58        1      17 0-gruppe blandet
         18        58        1      18 Hvitting
         19        58        1      19 Lyr
         20        58        1      20 Brisling
         21        58        1      21 Makrell
         22        58        1      22 Sei
         23        58        1      23 Vassild
         24        58        1      24 Kolmule
         25        58        1      25 Brosme
         26        58        1      26 Lange
         27        58        1      27 Sil
         28        58        1      28 Oeyepaal
         29        58        1      29 Uer
         30        58        1      30 Hyse
         31        58        1      31 Torsk
         32        58        1      32 0-Uer
         33        58        1      33 0-Polartorsk
         40        58        1      40
         41        58        1      41 Hyse, Torsk
         42        58        1      42 Vassild, Kolmule
         43        58        1      43 Andre sorter, Lodde
         44        58        1      44 Pelagisk fisk, Plankton
         45        58        1      45 Andre sorter, Plankton
         46        58        1      46 Plankton, 0-Sild, 0-Lodde
         47        58        1      47 Uer, Hyse, Torsk
         48        58        1      48 Lodde, Kolmule
         49        58        1      49 Lysprikkfisk, Kolmule
         50        58        1      50 Kolmule, Uer
         51        58        1      51 Andre sorte, 0-Sild, Sild
         52        58        1      52 Bunnfisk
         53        58        1      53 Sild, Brisling
         54        58        1      54 Plankton, Lysprikkfisk
         55        58        1      55 Andre sorter, Bunnfisk
         56        58        1      56 Hvitting, Brosme, Sil
         57        58        1      57 Plankton, 0-gruppe blandet
         58        58        1      58 I-Sild, 0-Sild
         59        58        1      59 II-Lodde, I-Lodde
         60        58        1      60 Andre sorter, II-Sild
         61        58        1      61 0-Sild, Brisling
         62        58        1      62 Bunnfisk, Oeyepaal, Torsk
         63        58        1      63 Bunnfisk, Hyse, Torsk
         64        58        1      64 Pelagisk fisk, Lysprikkfisk
         65        58        1      65
         66        58        1      66 Andre sorter, Uer
         67        58        1      67 Maneter, Reker, Plankton, Lysprikk
         68        58        1      68 Pelagisk, Maneter, Plankton, Lysprikk
         69        58        1      69 Makrell, Sei
          3        58        1      70 Pelagisk fisk
       5001        58        1      71 0-gr.Brisling
          0        58        8       0 Utolkede data (raadata)
          1        58        8       1 Andre sorter
          2        58        8       2 Bunnfisk
          3        58        8       3 Pelagisk fisk
          4        58        8       4 Maneter
          5        58        8       5 Reker
          6        58        8       6 Plankton
          7        58        8       7 Lysprikkfisk
          8        58        8       8 Polartorsk
          9        58        8       9 II-Sild
         10        58        8      10 I-Sild
         11        58        8      11 0-Sild
         12        58        8      12 Sild
         13        58        8      13 II-Lodde
